date,weight_BTC-USD,weight_GC=F,weight_^GSPC,weight_ETH-USD,weight_^NSEI
2023-05-05,0.0030988152366439544,0.9947884445419416,0.9969011847633561,0.01591152045634404,0.984088479543656
2023-05-08,0.009901856589419819,0.9836658896167314,0.9900981434105802,0.027816567136403767,0.9721834328635962
2023-05-09,0.0,0.9864751936951573,1.0,0.033884063891759165,0.9661159361082409
2023-05-10,0.0,0.9853366019261982,1.0,0.0323065417810618,0.9676934582189382
2023-05-11,0.0,0.9848626619734978,1.0,0.0328710659632706,0.9671289340367294
2023-05-12,0.0,0.9868453206185203,1.0,0.030202869538580656,0.9697971304614194
2023-05-15,0.0,0.9862241943938183,1.0,0.02925526053280195,0.9707447394671981
2023-05-16,0.0,0.9863020109245472,1.0,0.0295395890832655,0.9704604109167345
2023-05-17,0.0,0.9817766050830462,1.0,0.03076432439418698,0.969235675605813
2023-05-18,0.0,0.9804300801024967,1.0,0.03158169604176773,0.9684183039582323
2023-05-19,0.0019470971831051264,0.9816437031379521,0.9980529028168948,0.030149992149913686,0.9698500078500863
2023-05-23,0.0,0.9761776758175886,1.0,0.03135852228448619,0.9686414777155138
2023-05-24,0.006404907660513843,0.9756977078154739,0.9935950923394862,0.031491215742819725,0.9685087842571802
2023-05-25,0.00020537622234545122,0.9811383207118543,0.9997946237776546,0.027782908644258704,0.9722170913557413
2023-05-30,0.0,0.9754171707068477,1.0,0.02664773008213623,0.9733522699178637
2023-05-31,0.0,0.9830133407885515,1.0,0.024211927934333678,0.9757880720656663
2023-06-01,0.0,0.9817906338285322,1.0,0.022069015085207738,0.9779309849147922
2023-06-02,0.0,0.978779540052875,1.0,0.020368535261740397,0.9796314647382596
2023-06-05,0.0,0.9644759277578607,1.0,0.019813206471468506,0.9801867935285314
2023-06-06,0.0,0.9696735860137783,1.0,0.0198951497734394,0.9801048502265606
2023-06-07,0.0,0.9790137068403375,1.0,0.017166936932125426,0.9828330630678745
2023-06-09,0.0,0.9833792254956246,1.0,0.02047114345678735,0.9795288565432126
2023-06-13,0.0,0.9811700698951128,1.0,0.025230994182937155,0.9747690058170628
